   ;PAY;CNT;PAY_DATE
611;20141101,93;30617;02.09.2013
612;17723769,23;25255;03.09.2013
613;15680825,31;21325;04.09.2013
614;13819886,19;18224;05.09.2013
615;12461109,33;17090;06.09.2013
616;9636341,23;12507;07.09.2013
617;878428,94;1193;08.09.2013
618;13743514,48;18562;09.09.2013
619;13715173,69;17909;10.09.2013
620;13068228,87;17739;11.09.2013
621;13327536,94;18806;12.09.2013
622;13572544,19;20992;13.09.2013
623;13149185,64;21825;14.09.2013
624;1065083,23;1949;15.09.2013
625;27750167,16;57277;16.09.2013
626;32090899,09;67137;17.09.2013
627;34891049,57;74315;18.09.2013
628;37138840,65;78735;19.09.2013
629;35200599,7;75910;20.09.2013
630;29349716,89;60997;21.09.2013
631;2705432,97;5123;22.09.2013
632;39561739,4;84446;23.09.2013
633;37968589,75;80311;24.09.2013
634;38230907,55;77308;25.09.2013
635;33690976,22;66809;26.09.2013
636;34018983,74;65319;27.09.2013
637;28658136,31;54584;28.09.2013
638;2731690,87;5118;29.09.2013
639;43147197,1;81074;30.09.2013
640;26267311,44;38771;01.10.2013
641;21837429,12;29887;02.10.2013
642;17381192,74;23168;03.10.2013
643;15564054,11;20256;04.10.2013
644;11962606,95;15581;05.10.2013
645;1618186,19;2133;06.10.2013
646;15809948,71;19750;07.10.2013
647;14694374,02;18648;08.10.2013
648;13229716,3;16266;09.10.2013
649;13710793,29;17065;10.10.2013
650;12963247,74;15728;11.10.2013
651;10659599,51;12997;12.10.2013
652;1551826,34;2017;13.10.2013
653;15113924,35;20640;14.10.2013
654;12679074,01;19438;15.10.2013
655;27283794,33;48456;16.10.2013
656;31474964,68;62031;17.10.2013
657;35965900,42;73062;18.10.2013
658;35648353,97;69073;19.10.2013
659;5814281,91;11461;20.10.2013
660;45710160,29;93766;21.10.2013
661;46674632,04;93339;22.10.2013
662;42841666,79;83926;23.10.2013
663;40762200,17;78452;24.10.2013
664;37165742,84;70003;25.10.2013
665;31569423,71;57550;26.10.2013
666;4254913,71;7466;27.10.2013
667;39517428,17;73158;28.10.2013
668;32297529,32;57519;29.10.2013
669;36961354,72;64422;30.10.2013
670;32799768,11;54508;31.10.2013
671;20113035,08;26805;01.11.2013
672;16233803,51;21363;02.11.2013
673;1677182,07;2196;03.11.2013
674;1165937,96;1414;04.11.2013
675;20430132,32;25251;05.11.2013
676;18134837,59;21989;06.11.2013
677;15398399,67;18368;07.11.2013
678;14290914,35;17356;08.11.2013
679;14398600,39;17261;09.11.2013
680;2042435,15;2487;10.11.2013
681;16775000,36;20190;11.11.2013
682;15597088,89;19324;12.11.2013
683;15722528,75;20129;13.11.2013
684;16815512,42;23457;14.11.2013
685;22994167,67;34138;15.11.2013
686;25995008,62;40965;16.11.2013
687;4895810,3;8074;17.11.2013
688;45725576,2;83988;18.11.2013
689;50429080,8;90658;19.11.2013
690;52321123,55;93567;20.11.2013
691;49022924,77;85706;21.11.2013
